t1,t2,mse_1,mse_2_A,mse_2_B
matte peridot,reflective graphite,"59.1825110912323, 57.69782567024231, 58.376134157180786, 58.67680215835571, 58.59248948097229, 58.48855495452881, 59.45774173736572, 59.832587003707886, 59.386971950531006, 59.60246706008911","59.1825110912323, 58.683573722839355, 56.80893015861511, 57.726309061050415, 59.51491117477417, 59.23914647102356, 60.703083753585815, 60.47355270385742, 61.641990661621094, 57.08197736740112","47.90000605583191, 50.99925184249878, 56.10305142402649, 59.84455132484436, 60.291619300842285, 60.53218388557434, 60.500447511672974, 59.525099754333496, 58.82842493057251, 59.60246706008911"
dark marble,matte sandpaper,"52.218135833740234, 57.10271239280701, 52.62581729888916, 34.29791021347046, 18.141005039215088, 13.353412389755249, 22.762515544891357, 41.85157012939453, 50.63926386833191, 55.43713426589966","52.218135833740234, 61.41074466705322, 60.46943664550781, 61.1902494430542, 61.49344444274902, 60.646947622299194, 61.08211302757263, 61.133437156677246, 60.756279945373535, 60.53724408149719","47.70382475852966, 48.65316891670227, 48.64643311500549, 50.28649592399597, 48.60288119316101, 43.00714731216431, 46.435386180877686, 46.27395558357239, 47.71467614173889, 55.43713426589966"
polished magnesium,dark marble,"54.662415504455566, 56.18538212776184, 58.898337841033936, 60.22813296318054, 30.26235580444336, 9.252449750900269, 21.49318265914917, 54.070711612701416, 57.325623512268066, 60.448442220687866","54.662415504455566, 59.96771001815796, 63.4124813079834, 63.06839942932129, 64.47184038162231, 59.459463357925415, 54.35738825798035, 57.53979969024658, 58.84557342529297, 60.09941387176514","55.38179564476013, 55.368101835250854, 54.785054445266724, 54.944005727767944, 56.61500144004822, 57.585007190704346, 58.259387493133545, 60.17087769508362, 59.900092363357544, 60.448442220687866"
matte coal,matte peridot,"61.097878217697144, 62.17449998855591, 49.48075270652771, 30.68204426765442, 21.17180633544922, 29.460772275924683, 40.63185977935791, 49.1498920917511, 55.017295598983765, 56.77818703651428","61.097878217697144, 60.74959111213684, 59.835947036743164, 59.17419123649597, 59.97413659095764, 60.45332384109497, 58.17394399642944, 53.5004997253418, 53.959327697753906, 55.51422309875488","53.00384330749512, 61.359750747680664, 59.71310114860535, 57.99576187133789, 56.05475044250488, 55.0291383266449, 55.90077567100525, 57.38702178001404, 57.84720015525818, 56.77818703651428"
dull paint,metallic nickel,"61.6921489238739, 61.84428095817566, 61.00249147415161, 59.80442523956299, 58.08208346366882, 56.0467963218689, 57.42955803871155, 59.124452352523804, 57.416815996170044, 57.38876128196716","61.6921489238739, 64.54309725761414, 66.9788224697113, 63.58398675918579, 62.791274547576904, 60.74542474746704, 59.547462940216064, 59.583211183547974, 58.335079193115234, 58.21697521209717","56.195302963256836, 58.99519729614258, 56.338119983673096, 57.59749388694763, 54.986486196517944, 43.98657584190369, 45.833154916763306, 50.95177602767944, 55.92827105522156, 57.38876128196716"
smooth silicon,dark marble,"24.16171669960022, 29.175379514694214, 38.10416102409363, 41.312304735183716, 42.89193868637085, 43.62862944602966, 44.723917722702026, 45.4657347202301, 46.585535526275635, 47.69638705253601","24.16171669960022, 34.16762590408325, 44.03337526321411, 50.041231632232666, 54.94907021522522, 60.11524486541748, 60.98199963569641, 58.01936411857605, 59.02878212928772, 58.672330141067505","52.86739706993103, 53.05800771713257, 54.20573711395264, 55.01626396179199, 54.81682515144348, 54.35507822036743, 52.70715403556824, 51.68301033973694, 49.345481634140015, 47.69638705253601"
dark garnet,slick marble,"58.97920370101929, 58.735613107681274, 58.40031719207764, 57.81295394897461, 57.28208661079407, 56.92413640022278, 56.733834743499756, 57.13126182556152, 57.46438765525818, 58.00034427642822","58.97920370101929, 59.65659785270691, 59.66648602485657, 59.48103070259094, 59.50678372383118, 60.020421266555786, 60.214391231536865, 60.84186005592346, 61.665547370910645, 59.67519664764404","55.78457546234131, 55.71576476097107, 56.10835814476013, 56.45915389060974, 56.62082505226135, 57.03675961494446, 57.62890672683716, 57.3814013004303, 57.34058332443237, 58.00034427642822"
reflective silicon,glossy silicon,"54.94188666343689, 55.27379369735718, 55.53679132461548, 55.790027141571045, 55.90038347244263, 56.03890895843506, 55.962780714035034, 55.73031830787659, 54.84856724739075, 54.47792196273804","54.94188666343689, 53.735254764556885, 52.30944538116455, 49.09314846992493, 48.53605389595032, 50.62784433364868, 51.045119524002075, 51.399649143218994, 51.67609763145447, 48.46425437927246","55.43257212638855, 56.4625678062439, 56.95320749282837, 57.43451714515686, 57.1888644695282, 56.31846618652344, 56.043017625808716, 56.101048946380615, 55.87738108634949, 54.47792196273804"
dull gold,glossy emerald,"26.437872409820557, 18.028178453445435, 27.698053121566772, 53.38176774978638, 65.63075995445251, 55.61293816566467, 62.56063437461853, 57.305126905441284, 58.01434397697449, 57.963013648986816","26.437872409820557, 32.81042838096619, 40.119434118270874, 45.49403500556946, 47.26416039466858, 48.12196063995361, 51.31700110435486, 52.41320466995239, 52.163360357284546, 51.49066686630249","53.74332618713379, 54.35287117958069, 55.51248049736023, 56.66021800041199, 56.9781858921051, 57.64956521987915, 58.50540471076965, 58.624412536621094, 58.0760772228241, 57.963013648986816"
smooth paint,smooth paint,"51.14245820045471, 52.473633766174316, 49.359781980514526, 52.31834411621094, 54.649327516555786, 45.16176438331604, 35.28081679344177, 29.987201929092407, 29.210538387298584, 32.74654507637024","51.14245820045471, 27.697639226913452, 43.15420198440552, 51.252617597579956, 58.6695339679718, 56.20929145812988, 59.93313527107239, 60.793052196502686, 61.304590463638306, 60.354013442993164","51.10374593734741, 53.69116830825806, 47.33784604072571, 47.679948806762695, 47.810115814208984, 48.160813093185425, 46.65084171295166, 38.525655031204224, 32.114891052246094, 32.74654507637024"
