t1,t2,mse_1,mse_2_A,mse_2_B
matte amethyst,dark paint,"32.233253717422485, 23.884300708770752, 18.16993260383606, 17.85722851753235, 23.34419274330139, 34.41965103149414, 48.78308057785034, 55.70194053649902, 56.76410531997681, 54.90703725814819","32.233253717422485, 45.48105478286743, 54.4764838218689, 54.1945595741272, 59.57006525993347, 64.07987523078918, 61.744073152542114, 53.84386920928955, 56.314011335372925, 63.41597628593445","57.71835231781006, 57.603904485702515, 58.881542444229126, 59.34817385673523, 60.762142181396484, 60.353299617767334, 61.33704233169556, 60.983200788497925, 60.80050992965698, 54.90703725814819"
polished bamboo,blurry malachite,"35.25940656661987, 37.92990803718567, 36.36697554588318, 32.880797147750854, 28.64053201675415, 25.45772099494934, 25.682053089141846, 28.985427141189575, 32.45118832588196, 36.24072074890137","35.25940656661987, 37.42164468765259, 39.845542669296265, 43.04512286186218, 49.90580677986145, 53.779364347457886, 53.55852222442627, 53.62840151786804, 55.06882905960083, 55.13359785079956","54.02131986618042, 53.78251838684082, 52.183727979660034, 48.408517599105835, 50.21203112602234, 42.60195469856262, 37.04644584655762, 35.040810346603394, 32.00933885574341, 36.24072074890137"
cloudy sandpaper,coarse emerald,"54.3421413898468, 49.80472803115845, 19.27348780632019, 11.09372878074646, 32.614177227020264, 62.29831004142761, 64.64716911315918, 54.48723125457764, 63.75893306732178, 60.30271077156067","54.3421413898468, 55.70488882064819, 54.31388735771179, 54.31046533584595, 50.17622756958008, 51.49851632118225, 54.12765574455261, 55.770402908325195, 51.96122765541077, 51.55630016326904","55.29615259170532, 53.3732635974884, 51.86208629608154, 54.09674286842346, 57.19953370094299, 56.3621563911438, 52.741297245025635, 51.316394567489624, 53.255725383758545, 60.30271077156067"
polished terracotta,metallic brass,"40.33205485343933, 38.240431785583496, 37.382946252822876, 36.300764083862305, 32.25951838493347, 23.75773334503174, 53.33300232887268, 60.338714599609375, 57.85791873931885, 62.41227340698242","40.33205485343933, 40.09598088264465, 40.32194757461548, 40.731446504592896, 41.39712691307068, 42.32578802108765, 43.40894865989685, 45.00011396408081, 46.982495069503784, 49.08342099189758","60.381972312927246, 60.161240100860596, 59.29328179359436, 59.29453372955322, 61.27317953109741, 62.552814245224, 61.98188638687134, 60.912445306777954, 62.357977867126465, 62.41227340698242"
light emerald,dull paint,"61.12623977661133, 63.00935125350952, 60.83916234970093, 63.392871141433716, 63.41621470451355, 57.49931883811951, 51.17521643638611, 59.54186964035034, 60.874255895614624, 65.41423296928406","61.12623977661133, 64.72064542770386, 62.5361807346344, 59.30469560623169, 62.50214171409607, 65.29871392250061, 62.99992060661316, 55.715826749801636, 49.16561579704285, 46.674447774887085","56.26653718948364, 36.86776256561279, 57.76168179512024, 59.8408842086792, 62.50736737251282, 61.048070192337036, 57.56835627555847, 63.1874840259552, 64.31479525566101, 65.41423296928406"
blurry malachite,glossy silicon,"56.07525968551636, 56.328566789627075, 55.09162950515747, 53.58622598648071, 54.14488196372986, 55.36107802391052, 54.799371004104614, 52.33785128593445, 49.78956460952759, 48.082170486450195","56.07525968551636, 56.36172699928284, 55.75635480880737, 54.30489683151245, 53.95430040359497, 51.90292501449585, 49.15744614601135, 46.59807372093201, 42.84641361236572, 42.653125286102295","56.82560634613037, 57.47844576835632, 57.63591814041138, 57.85445547103882, 56.67726421356201, 57.32679843902588, 53.87312340736389, 47.349250078201294, 43.17363357543945, 48.082170486450195"
smooth terracotta,glossy ruby,"47.5808584690094, 47.36324739456177, 42.48164987564087, 37.20967721939087, 39.03949761390686, 44.63665294647217, 49.592329263687134, 54.38815522193909, 56.13861584663391, 56.24804067611694","47.5808584690094, 46.518322467803955, 42.711450815200806, 41.6463258266449, 43.38127660751343, 46.028234243392944, 48.941619634628296, 52.56152963638306, 54.14418148994446, 53.606467723846436","53.181830167770386, 51.94744300842285, 51.026381731033325, 50.18251967430115, 50.747690200805664, 51.07452178001404, 51.406378507614136, 51.31473684310913, 51.306411027908325, 56.24804067611694"
reflective sandstone,dark sandstone,"27.084107398986816, 27.301005840301514, 29.50235152244568, 31.939521074295044, 34.22872805595398, 35.925777435302734, 36.80835294723511, 36.97853636741638, 36.20000743865967, 34.65913701057434","27.084107398986816, 11.75905990600586, 31.983429670333862, 46.30325365066528, 55.86617159843445, 59.31558680534363, 61.07011079788208, 58.36336302757263, 60.78508925437927, 61.19982409477234","58.063005447387695, 59.24411630630493, 60.64359974861145, 60.50636339187622, 59.54803395271301, 62.121837854385376, 60.463857650756836, 60.12776732444763, 54.155614137649536, 34.65913701057434"
smooth paint,slick marble,"53.239766359329224, 51.95351982116699, 47.90472936630249, 35.9519624710083, 5.208162307739258, 36.22503137588501, 53.38522243499756, 56.805612564086914, 60.02842307090759, 60.3302059173584","53.239766359329224, 63.79195833206177, 61.253660678863525, 60.28470516204834, 50.744253635406494, 53.99427390098572, 56.63429403305054, 58.159722328186035, 58.497905015945435, 56.8399875164032","61.49466514587402, 62.09461236000061, 61.62969374656677, 62.05624604225159, 61.4966824054718, 59.57592821121216, 59.703208208084106, 45.49593949317932, 57.13770866394043, 60.3302059173584"
dark silicon,slick marble,"57.83036184310913, 57.079306840896606, 56.17103910446167, 43.97535943984985, 33.254526138305664, 51.18690013885498, 57.18055725097656, 60.58534216880798, 62.495497941970825, 56.036489486694336","57.83036184310913, 57.79873967170715, 57.731306314468384, 57.72396206855774, 57.98580193519592, 58.27307105064392, 58.00805711746216, 57.99191975593567, 58.917821168899536, 58.464277267456055","55.46641778945923, 57.77785277366638, 58.50132203102112, 59.1831157207489, 57.39163327217102, 56.234870195388794, 56.87952136993408, 56.71869492530823, 55.598644495010376, 56.036489486694336"
dark sandstone,light marble,"60.6495201587677, 60.79051446914673, 60.81327152252197, 30.801788806915283, 33.8703773021698, 47.87712740898132, 51.952932596206665, 55.55198669433594, 57.938308238983154, 57.3115017414093","60.6495201587677, 61.78487849235535, 60.030946254730225, 61.21406078338623, 60.79782819747925, 58.4612238407135, 57.42765259742737, 56.06476092338562, 52.592878580093384, 51.41779828071594","58.30286002159119, 56.78465533256531, 59.81688833236694, 59.366586208343506, 58.097848892211914, 56.62660098075867, 54.57533812522888, 54.23665690422058, 56.321996450424194, 57.3115017414093"
smooth paint,dark sandstone,"38.47100567817688, 55.63032507896423, 58.72554564476013, 59.54275298118591, 61.13059425354004, 57.961993932724, 56.04397797584534, 57.41875720024109, 55.97773790359497, 53.01444935798645","38.47100567817688, 56.58464813232422, 59.74563384056091, 62.790719985961914, 62.10917353630066, 56.80929255485535, 58.0847806930542, 58.185925245285034, 55.571836709976196, 52.482455253601074","52.59619379043579, 45.65640997886658, 52.4716420173645, 56.17674279212952, 57.591951847076416, 56.82986307144165, 55.026445627212524, 57.1512713432312, 56.10348653793335, 53.01444935798645"
cloudy emerald,smooth paint,"33.243709325790405, 34.72922897338867, 36.50470447540283, 38.7561411857605, 40.20760893821716, 41.401384115219116, 43.48919153213501, 46.14267301559448, 49.209912061691284, 48.77684926986694","33.243709325790405, 29.90580439567566, 33.132652044296265, 34.56822490692139, 44.75598406791687, 47.96562671661377, 49.653294801712036, 40.61519241333008, 51.15311050415039, 43.79383563995361","50.873302698135376, 52.729772329330444, 52.75745701789856, 52.02256441116333, 54.288530588150024, 55.489110469818115, 55.4654004573822, 56.50612258911133, 59.11365032196045, 48.77684926986694"
dark marble,dull paint,"29.049569606781006, 25.629422187805176, 30.38030481338501, 38.3973822593689, 45.22617816925049, 51.48658347129822, 55.57701396942139, 55.782747745513916, 57.201011657714844, 58.885642766952515","29.049569606781006, 28.97214412689209, 44.60174512863159, 52.11176419258118, 56.300758838653564, 57.19973969459534, 55.28354215621948, 56.50721287727356, 59.397852420806885, 59.52334475517273","55.526713848114014, 51.311880588531494, 47.85824251174927, 49.10756993293762, 50.126973152160645, 50.56381344795227, 42.376121044158936, 30.53744387626648, 51.37837553024292, 58.885642766952515"
glossy silicon,dull paint,"59.224177837371826, 60.520591735839844, 61.147297859191895, 61.96962380409241, 62.31183195114136, 61.27484965324402, 59.25824308395386, 57.25186586380005, 58.71556568145752, 60.699878454208374","59.224177837371826, 58.87056875228882, 59.18188500404358, 58.468613386154175, 58.517998933792114, 57.93758845329285, 58.38265776634216, 58.167417764663696, 57.87226867675781, 57.19288158416748","55.97415089607239, 55.830079317092896, 55.04258346557617, 53.20590591430664, 50.478270530700684, 46.239991664886475, 51.49089002609253, 58.744304180145264, 61.01141428947449, 60.699878454208374"
metallic topaz,glossy emerald,"50.71165490150452, 48.13400745391846, 46.391589879989624, 43.554885387420654, 37.0637149810791, 28.908427953720093, 22.002257108688354, 23.01982593536377, 34.528674840927124, 40.9278290271759","50.71165490150452, 49.85717701911926, 49.64521670341492, 49.07339334487915, 44.782493352890015, 41.66201901435852, 43.681047201156616, 46.35448980331421, 47.94595980644226, 48.70030999183655","45.966989278793335, 43.268062353134155, 46.13151574134827, 47.05679702758789, 49.64752268791199, 48.31832242012024, 45.826775312423706, 47.80559825897217, 46.70165038108826, 40.9278290271759"
matte coal,dull paint,"60.609745502471924, 62.98488116264343, 63.86721062660217, 62.96640205383301, 60.18502402305603, 56.21023082733154, 55.597553968429565, 57.34072947502136, 59.36478853225708, 61.724427700042725","60.609745502471924, 58.98929309844971, 58.25803542137146, 59.060189962387085, 60.564719676971436, 61.00599431991577, 60.576109409332275, 60.669347524642944, 60.64002847671509, 61.42831110954285","57.89193940162659, 60.003480195999146, 52.30701398849487, 33.5552544593811, 24.08014178276062, 35.52036213874817, 60.366251707077026, 57.95539093017578, 60.93140959739685, 61.724427700042725"
smooth plastic,polished cobblestone,"27.131781578063965, 28.931309700012207, 31.273032903671265, 33.61557936668396, 35.42671585083008, 36.938567876815796, 38.4125440120697, 39.41363453865051, 40.098262310028076, 40.499324560165405","27.131781578063965, 42.96503949165344, 53.76384520530701, 55.43033266067505, 58.6071834564209, 60.3693368434906, 59.3871648311615, 53.25790023803711, 60.14517903327942, 61.9138081073761","54.85283660888672, 51.75297474861145, 51.52664923667908, 46.00632429122925, 42.10456609725952, 44.151792764663696, 44.97659754753113, 43.34046030044556, 43.81546902656555, 40.499324560165405"
dark paint,reflective brass,"24.438509702682495, 11.806704998016357, 4.007105112075806, 4.456700801849365, 20.379189014434814, 42.86691164970398, 48.096355676651, 51.54107427597046, 57.49628973007202, 56.21964192390442","24.438509702682495, 28.371114015579224, 56.10395312309265, 60.96841549873352, 60.429682970047, 62.09030747413635, 58.218605756759644, 59.61183762550354, 55.8382248878479, 51.33815860748291","53.826380252838135, 53.30937576293945, 52.93507385253906, 53.63844537734985, 49.08415603637695, 48.66039228439331, 53.30600547790527, 56.838088035583496, 57.17557740211487, 56.21964192390442"
dull paint,reflective sandpaper,"60.641921043395996, 60.96666932106018, 51.01258087158203, 65.06458067893982, 57.815855503082275, 58.71284508705139, 13.575796604156494, 43.94938063621521, 54.37962555885315, 57.35805559158325","60.641921043395996, 63.6284499168396, 60.448652267456055, 56.33729934692383, 61.79786014556885, 58.21460199356079, 51.1260130405426, 43.311081886291504, 46.703731298446655, 60.01015543937683","51.37010931968689, 40.88732409477234, 39.73586916923523, 43.03397727012634, 53.852219343185425, 57.751057863235474, 55.60625982284546, 46.17246603965759, 44.287211894989014, 57.35805559158325"
slick marble,glossy silicon,"30.90977430343628, 37.52559971809387, 47.34306597709656, 51.751641273498535, 55.007025718688965, 57.51854109764099, 55.91136837005615, 57.62978386878967, 57.95425891876221, 56.938034534454346","30.90977430343628, 47.57552790641785, 53.710553884506226, 57.12128758430481, 56.61172699928284, 58.465792655944824, 57.80609154701233, 57.89969301223755, 57.54841232299805, 56.04020833969116","62.270899295806885, 40.35057616233826, 24.794450044631958, 34.21716666221619, 50.14679455757141, 54.27817916870117, 56.8957884311676, 57.56270170211792, 57.49819326400757, 56.938034534454346"
blurry rubber,dull paint,"56.70370388031006, 57.551374197006226, 59.02198266983032, 59.18268609046936, 59.027859687805176, 61.58443808555603, 65.71629190444946, 67.51214456558228, 62.057432889938354, 60.23210382461548","56.70370388031006, 58.83614706993103, 58.14842915534973, 58.22875189781189, 59.636457204818726, 58.480769634246826, 56.73198699951172, 53.873255491256714, 53.41507148742676, 54.049537658691406","60.38682842254639, 55.1143581867218, 63.239617109298706, 59.02805018424988, 54.75769639015198, 47.19446086883545, 63.63585615158081, 63.157228231430054, 65.79432821273804, 60.23210382461548"
blurry malachite,matte sandstone,"57.40651488304138, 57.66408038139343, 57.027819871902466, 56.24311327934265, 56.575186014175415, 58.37229776382446, 60.1444787979126, 59.57005786895752, 60.227527379989624, 61.2453670501709","57.40651488304138, 57.51092052459717, 56.67675542831421, 49.14453959465027, 54.26464128494263, 57.682888984680176, 58.10208177566528, 59.660529375076294, 59.17994523048401, 58.077821493148804","53.12121915817261, 51.661144971847534, 56.52703261375427, 57.21695613861084, 56.51827692985535, 57.13011622428894, 57.03586506843567, 55.59073257446289, 59.58902645111084, 61.2453670501709"
smooth sandstone,slick marble,"53.41922998428345, 52.107078552246094, 52.695860385894775, 54.489617109298706, 55.91135096549988, 55.831950187683105, 55.648483991622925, 56.55342721939087, 56.614811182022095, 46.32437324523926","53.41922998428345, 55.13891887664795, 57.17240357398987, 53.42891454696655, 57.09862518310547, 56.66518592834473, 54.80021071434021, 50.04291009902954, 53.084304332733154, 56.169111251831055","53.30817270278931, 51.612765312194824, 51.19178032875061, 49.38503551483154, 46.53787708282471, 49.764795780181885, 59.394476652145386, 57.53432750701904, 59.224355697631836, 46.32437324523926"
dull paint,dark sandstone,"37.5760452747345, 32.315210580825806, 25.831235647201538, 19.274355173110962, 13.719646453857422, 9.887511730194092, 8.380347490310669, 9.367711782455444, 12.517522811889648, 16.48153328895569","37.5760452747345, 53.3450129032135, 55.239712715148926, 62.94909381866455, 61.988258361816406, 54.31793022155762, 56.78404760360718, 62.12263631820679, 61.844085454940796, 59.691224813461304","60.508660554885864, 61.58049511909485, 60.47017574310303, 57.924171447753906, 56.04438304901123, 61.68798875808716, 63.92565631866455, 55.589515209198, 41.74646592140198, 16.48153328895569"
dark sandstone,polished magnesium,"57.80695819854736, 61.254576206207275, 53.087568283081055, 35.09077429771423, 23.249499320983887, 39.12567472457886, 51.82012677192688, 54.55884671211243, 54.557900190353394, 53.457218170166016","57.80695819854736, 57.87876915931702, 58.715394735336304, 59.12007784843445, 59.492514848709106, 59.662339210510254, 59.84517049789429, 60.29991626739502, 60.012826442718506, 60.037330627441406","47.65771722793579, 46.55226445198059, 45.82276654243469, 45.07375407218933, 44.828251123428345, 45.206329345703125, 46.25515556335449, 48.661099433898926, 49.93171310424805, 53.457218170166016"
dull paint,smooth paint,"43.9811589717865, 47.999871253967285, 47.571582555770874, 28.418200731277466, 4.326242208480835, 8.38825798034668, 41.489750385284424, 56.99279046058655, 55.35725522041321, 47.148786306381226","43.9811589717865, 56.99334645271301, 61.67828130722046, 60.04390239715576, 56.82249450683594, 56.60033869743347, 59.5916063785553, 58.48401093482971, 57.64038133621216, 52.10364317893982","55.68597197532654, 60.113691091537476, 60.496222496032715, 63.649017333984375, 57.86710166931152, 50.33115553855896, 53.539084672927856, 56.8901002407074, 56.046103954315186, 47.148786306381226"
coarse emerald,smooth silicon,"56.18831992149353, 55.74133062362671, 55.395384073257446, 56.254170417785645, 57.259358406066895, 57.117483377456665, 57.18588829040527, 56.48408269882202, 54.93311643600464, 53.16886591911316","56.18831992149353, 56.7823052406311, 56.83716440200806, 56.83610820770264, 56.83247971534729, 56.280029296875, 55.49193978309631, 55.28425669670105, 55.69898533821106, 56.05661916732788","55.02599048614502, 55.661304235458374, 51.64111304283142, 48.09085249900818, 46.85346078872681, 47.25138783454895, 48.7234992980957, 50.674184799194336, 52.419283866882324, 53.16886591911316"
dull paint,glossy garnet,"12.049055099487305, 38.35426664352417, 65.92431330680847, 63.24372982978821, 56.17394161224365, 60.652738094329834, 61.25017261505127, 61.45215153694153, 61.087498903274536, 56.14119267463684","12.049055099487305, 52.81023812294006, 58.49750018119812, 60.90869760513306, 59.99926137924194, 59.29192924499512, 56.69715762138367, 57.328086137771606, 52.22250485420227, 56.651532888412476","46.063634395599365, 46.748777627944946, 51.249751329422, 53.53966760635376, 54.798320293426514, 54.20246410369873, 53.39419913291931, 47.71334099769592, 48.08070492744446, 56.14119267463684"
dark paint,smooth sandstone,"41.706013917922974, 39.254220962524414, 30.130632162094116, 22.105401277542114, 20.79802918434143, 25.176848888397217, 32.34788489341736, 37.003384828567505, 41.07610058784485, 44.37332248687744","41.706013917922974, 59.183589935302734, 60.28096890449524, 60.01745390892029, 59.11440920829773, 59.68579983711243, 58.10642457008362, 59.682427167892456, 49.93859028816223, 44.611849784851074","49.87562108039856, 58.71620512008667, 60.88080668449402, 60.6477587223053, 57.16012692451477, 56.262489557266235, 54.82946848869324, 48.98701024055481, 42.05812048912048, 44.37332248687744"
smooth paint,slick marble,"44.95026254653931, 31.56049108505249, 18.186758279800415, 24.88780426979065, 42.10873770713806, 45.68302941322327, 48.01338005065918, 50.484172344207764, 53.23752546310425, 55.88119077682495","44.95026254653931, 45.067421674728394, 39.32521915435791, 38.92968988418579, 48.69401431083679, 52.29512619972229, 52.824225187301636, 53.82051658630371, 55.99308466911316, 57.85314440727234","46.774046659469604, 49.71846294403076, 49.05264449119568, 46.41439414024353, 45.95560359954834, 48.022000312805176, 50.166677474975586, 52.379656076431274, 54.123268127441406, 55.88119077682495"
dull paint,smooth paint,"42.98245716094971, 39.296128034591675, 18.25876235961914, 7.274778604507446, 19.000327110290527, 51.63537287712097, 55.678231954574585, 59.33950185775757, 59.93487334251404, 59.07300090789795","42.98245716094971, 42.82975649833679, 31.09644365310669, 30.6674587726593, 39.77383542060852, 40.95658874511719, 46.17863750457764, 47.54687213897705, 47.937511682510376, 54.1236252784729","47.95670175552368, 44.74530339241028, 41.11915874481201, 39.05544447898865, 42.480958700180054, 50.700541496276855, 54.99531936645508, 59.113680839538574, 59.249937295913696, 59.07300090789795"
glossy emerald,smooth silicon,"47.1329140663147, 53.30090284347534, 54.88961625099182, 54.998943567276, 50.559911012649536, 33.43574094772339, 26.01342272758484, 38.97479701042175, 48.62883019447327, 60.98921036720276","47.1329140663147, 55.90364408493042, 58.83849024772644, 58.24785137176514, 58.12486004829407, 58.152629375457764, 59.04532051086426, 59.0852415561676, 59.12695837020874, 59.15456700325012","57.39415168762207, 58.33318758010864, 61.797712087631226, 61.79956531524658, 63.15350651741028, 61.39291477203369, 57.051820278167725, 57.91117787361145, 59.831809997558594, 60.98921036720276"
slick marble,dark asphalt,"57.8553991317749, 57.25911498069763, 60.976470708847046, 64.9198808670044, 60.21452808380127, 35.680853605270386, 5.772302865982056, 12.662159442901611, 44.2269070148468, 39.833383560180664","57.8553991317749, 62.82732629776001, 66.32327914237976, 55.14849090576172, 58.26081395149231, 60.806570291519165, 54.85142803192139, 52.62852764129639, 51.925597190856934, 51.23968839645386","56.09816122055054, 56.45511054992676, 55.91781497001648, 55.476256370544434, 58.746013879776, 60.576085805892944, 60.06265640258789, 60.32301568984985, 57.340081214904785, 39.833383560180664"
smooth paint,slick marble,"35.75452756881714, 47.14315962791443, 60.92492938041687, 58.65257430076599, 59.03959608078003, 57.809067249298096, 54.71073913574219, 51.45845937728882, 46.91617703437805, 43.571853160858154","35.75452756881714, 40.96146106719971, 56.80969500541687, 61.65272617340088, 58.913262128829956, 60.60248374938965, 55.63020849227905, 59.09661889076233, 57.77222657203674, 53.02686882019043","37.31677865982056, 51.23091650009155, 58.663004636764526, 54.625407695770264, 44.729522943496704, 49.889719009399414, 54.96060037612915, 56.68152689933777, 57.03402352333069, 43.571853160858154"
polished plastic,smooth paint,"40.009037256240845, 36.54094433784485, 33.72886848449707, 29.857908248901367, 30.782675743103027, 34.180726051330566, 37.17094683647156, 35.95934987068176, 35.79896306991577, 35.472877740859985","40.009037256240845, 37.3408989906311, 37.95136857032776, 36.66693472862244, 34.76476001739502, 35.32353448867798, 37.850024461746216, 41.614901542663574, 45.99629044532776, 50.16970205307007","40.37047004699707, 35.495208978652954, 29.332736492156982, 25.135986804962158, 23.385194063186646, 25.058995485305786, 30.343207836151123, 29.756940603256226, 32.975926876068115, 35.472877740859985"
