lpips_1,lpips_2_A,lpips_2_B
"0.1428234875202179, 0.1476597785949707, 0.15367910265922546, 0.15843485295772552, 0.15148203074932098, 0.1492152363061905, 0.15059910714626312, 0.15991871058940887, 0.16210027039051056, 0.15449796617031097","0.1428234875202179, 0.1629357635974884, 0.20532748103141785, 0.25694769620895386, 0.3098756968975067, 0.35905489325523376, 0.4064784049987793, 0.45407798886299133, 0.5015257000923157, 0.5454270243644714","0.5592852234840393, 0.4862632751464844, 0.40999677777290344, 0.34765610098838806, 0.3021019995212555, 0.26274508237838745, 0.22597602009773254, 0.1943235993385315, 0.1713138371706009, 0.15449796617031097"
"0.007892671041190624, 0.010477724485099316, 0.016997193917632103, 0.026457620784640312, 0.04066763073205948, 0.05793832987546921, 0.07794651389122009, 0.10198995471000671, 0.13743093609809875, 0.16441000998020172","0.007892671041190624, 0.01906772144138813, 0.0441817045211792, 0.07374784350395203, 0.10605940222740173, 0.1428491473197937, 0.181563600897789, 0.2215368002653122, 0.2672468423843384, 0.32251620292663574","0.2302647829055786, 0.2070055454969406, 0.1791476607322693, 0.14542017877101898, 0.10831885039806366, 0.07819627970457077, 0.0676322802901268, 0.08021280169487, 0.11943456530570984, 0.16441000998020172"
"0.14852671325206757, 0.1521303802728653, 0.15138539671897888, 0.15651769936084747, 0.1610444188117981, 0.1687537431716919, 0.17520515620708466, 0.18526771664619446, 0.20456382632255554, 0.2191726267337799","0.14852671325206757, 0.15434372425079346, 0.15996119379997253, 0.1745467185974121, 0.19498305022716522, 0.22144715487957, 0.2501790225505829, 0.2808606028556824, 0.31069639325141907, 0.34029272198677063","0.33925214409828186, 0.3323702812194824, 0.32458430528640747, 0.320684015750885, 0.31587231159210205, 0.3002487123012543, 0.27141931653022766, 0.24584825336933136, 0.22697794437408447, 0.2191726267337799"
"0.01173011027276516, 0.012337765656411648, 0.014230290427803993, 0.021211018785834312, 0.03127289563417435, 0.04960235208272934, 0.07773994654417038, 0.11669466644525528, 0.1648522913455963, 0.1920366883277893","0.01173011027276516, 0.02230517752468586, 0.04998313635587692, 0.09353242814540863, 0.14220601320266724, 0.20203828811645508, 0.2823770344257355, 0.40627822279930115, 0.49898213148117065, 0.527194082736969","0.47006672620773315, 0.4419200122356415, 0.41001781821250916, 0.37117594480514526, 0.3295949101448059, 0.28463664650917053, 0.24861839413642883, 0.23685114085674286, 0.18567438423633575, 0.1920366883277893"
"0.12155334651470184, 0.11070112138986588, 0.09918440878391266, 0.09148930758237839, 0.08257521688938141, 0.0727931559085846, 0.06649340689182281, 0.06666833162307739, 0.06409232318401337, 0.07616685330867767","0.12155334651470184, 0.11890377849340439, 0.13354778289794922, 0.1605817824602127, 0.18764974176883698, 0.21799170970916748, 0.25477075576782227, 0.30126604437828064, 0.35336610674858093, 0.4166427254676819","0.48010119795799255, 0.4216110110282898, 0.37526026368141174, 0.33765068650245667, 0.3011566996574402, 0.2660239040851593, 0.21911771595478058, 0.16599532961845398, 0.11190437525510788, 0.07616685330867767"
"0.2280401885509491, 0.16774344444274902, 0.12836477160453796, 0.0899963527917862, 0.06093600392341614, 0.041168324649333954, 0.027167096734046936, 0.018854014575481415, 0.01673443242907524, 0.019013257697224617","0.2280401885509491, 0.18795329332351685, 0.1540115773677826, 0.12662971019744873, 0.11945423483848572, 0.13765716552734375, 0.17872023582458496, 0.2282487004995346, 0.28093618154525757, 0.33829841017723083","0.4383605122566223, 0.39676836133003235, 0.3577050268650055, 0.3135581314563751, 0.26478511095046997, 0.21150872111320496, 0.15111330151557922, 0.08116475492715836, 0.03161508962512016, 0.019013257697224617"
"0.07382053136825562, 0.07217248529195786, 0.07403024286031723, 0.07628582417964935, 0.07696983963251114, 0.08089353144168854, 0.08731995522975922, 0.09346629679203033, 0.09881754219532013, 0.10554899275302887","0.07382053136825562, 0.06409846246242523, 0.07672957330942154, 0.10078606754541397, 0.13477474451065063, 0.17648911476135254, 0.22178512811660767, 0.27287647128105164, 0.33615344762802124, 0.40005749464035034","0.46517282724380493, 0.4247761070728302, 0.38085126876831055, 0.3387626111507416, 0.2987182140350342, 0.26093971729278564, 0.22514702379703522, 0.1823744773864746, 0.1341927945613861, 0.10554899275302887"
"0.041335057467222214, 0.05059325695037842, 0.0603196918964386, 0.07330723851919174, 0.08319621533155441, 0.0989779531955719, 0.1056525856256485, 0.10245046019554138, 0.10267605632543564, 0.10090213268995285","0.041335057467222214, 0.039329901337623596, 0.054125696420669556, 0.0966842845082283, 0.20725837349891663, 0.3188086748123169, 0.3252461850643158, 0.32767027616500854, 0.3429253399372101, 0.3781762719154358","0.46580952405929565, 0.4622030258178711, 0.4536074697971344, 0.4479197859764099, 0.45395299792289734, 0.4006546139717102, 0.31935715675354004, 0.2404765635728836, 0.14937350153923035, 0.10090213268995285"
"0.25397899746894836, 0.03997208923101425, 0.028328420594334602, 0.03141973912715912, 0.039118990302085876, 0.04709751158952713, 0.05775812640786171, 0.06769715994596481, 0.09091191738843918, 0.12081117182970047","0.25397899746894836, 0.26741403341293335, 0.27470317482948303, 0.27667710185050964, 0.27278247475624084, 0.2811470329761505, 0.33407366275787354, 0.39308980107307434, 0.415459007024765, 0.4432249963283539","0.4813396632671356, 0.4633021652698517, 0.44351646304130554, 0.4256349205970764, 0.40798622369766235, 0.39092475175857544, 0.32520657777786255, 0.25387921929359436, 0.18734952807426453, 0.12081117182970047"
"0.059097860008478165, 0.058546118438243866, 0.05782397836446762, 0.056132979691028595, 0.05698167160153389, 0.05709444358944893, 0.058049362152814865, 0.06257107108831406, 0.06490526348352432, 0.07050003111362457","0.059097860008478165, 0.06639669090509415, 0.08247645199298859, 0.1054471805691719, 0.13680650293827057, 0.18053916096687317, 0.22850406169891357, 0.2713175117969513, 0.3006240129470825, 0.3224160969257355","0.3576678931713104, 0.33209162950515747, 0.2961501479148865, 0.257704496383667, 0.22243651747703552, 0.19180703163146973, 0.165581613779068, 0.13422779738903046, 0.10010898858308792, 0.07050003111362457"
"0.03451630845665932, 0.029861148446798325, 0.02584846317768097, 0.021855466067790985, 0.019002217799425125, 0.01681063137948513, 0.015165643766522408, 0.014472270384430885, 0.013636317104101181, 0.012986739166080952","0.03451630845665932, 0.0296329353004694, 0.03002968430519104, 0.034131623804569244, 0.042032308876514435, 0.05172789469361305, 0.06257785856723785, 0.07461851090192795, 0.08708170056343079, 0.10022377222776413","0.12952665984630585, 0.10456733405590057, 0.0833711251616478, 0.06511139869689941, 0.049750491976737976, 0.03664436563849449, 0.026591181755065918, 0.019223790615797043, 0.014783240854740143, 0.012986739166080952"
"0.04157938063144684, 0.05412278324365616, 0.06665140390396118, 0.07499507069587708, 0.08686842024326324, 0.10003509372472763, 0.11620935052633286, 0.12618891894817352, 0.12857010960578918, 0.13683785498142242","0.04157938063144684, 0.050640691071748734, 0.06992456316947937, 0.10251548886299133, 0.1638532280921936, 0.21012118458747864, 0.255840539932251, 0.3260577917098999, 0.39942508935928345, 0.464574933052063","0.42415928840637207, 0.4055138826370239, 0.38087642192840576, 0.3529696762561798, 0.3383886218070984, 0.300234854221344, 0.22493986785411835, 0.16332921385765076, 0.13443107903003693, 0.13683785498142242"
"0.031114177778363228, 0.03076138347387314, 0.031535275280475616, 0.031039196997880936, 0.033290114253759384, 0.030751822516322136, 0.027397286146879196, 0.024032779037952423, 0.021110989153385162, 0.020140888169407845","0.031114177778363228, 0.09553340077400208, 0.21977511048316956, 0.34963494539260864, 0.4130975008010864, 0.39530590176582336, 0.3868917226791382, 0.390286922454834, 0.3999813497066498, 0.4115850031375885","0.38029977679252625, 0.36103516817092896, 0.3623350262641907, 0.34980469942092896, 0.24414461851119995, 0.1423790156841278, 0.08189349621534348, 0.048476070165634155, 0.02918408438563347, 0.020140888169407845"
"0.018608268350362778, 0.018938060849905014, 0.01966707408428192, 0.02087126299738884, 0.021336594596505165, 0.02074407786130905, 0.01953323744237423, 0.0218423493206501, 0.025340642780065536, 0.024653078988194466","0.018608268350362778, 0.05033034086227417, 0.09629005938768387, 0.15011194348335266, 0.21936024725437164, 0.30598992109298706, 0.35896947979927063, 0.4002930521965027, 0.4375300407409668, 0.47550368309020996","0.46615126729011536, 0.43930017948150635, 0.40982526540756226, 0.3726405203342438, 0.33912229537963867, 0.2928246855735779, 0.18671466410160065, 0.11138684302568436, 0.0588613897562027, 0.024653078988194466"
"0.1565818041563034, 0.14417655766010284, 0.13991162180900574, 0.13876281678676605, 0.14364014565944672, 0.1486929953098297, 0.15876345336437225, 0.16024869680404663, 0.15884524583816528, 0.15982134640216827","0.1565818041563034, 0.14489760994911194, 0.14854690432548523, 0.15846914052963257, 0.17162209749221802, 0.18431849777698517, 0.19876620173454285, 0.21386080980300903, 0.2284162938594818, 0.24296998977661133","0.3114659786224365, 0.2759343981742859, 0.2519233822822571, 0.2312232106924057, 0.2137223184108734, 0.19763916730880737, 0.18460983037948608, 0.17459705471992493, 0.1665997952222824, 0.15982134640216827"
"0.23981569707393646, 0.20882296562194824, 0.18064764142036438, 0.14876912534236908, 0.11890819668769836, 0.09405607730150223, 0.07448554039001465, 0.05492064356803894, 0.038404520601034164, 0.02662498876452446","0.23981569707393646, 0.2189830243587494, 0.20522737503051758, 0.19205480813980103, 0.18591029942035675, 0.19870339334011078, 0.204636812210083, 0.22136932611465454, 0.2559843361377716, 0.2979293763637543","0.4359624981880188, 0.3917137086391449, 0.34699469804763794, 0.30174627900123596, 0.26102522015571594, 0.21278053522109985, 0.1657055765390396, 0.10968643426895142, 0.05884915590286255, 0.02662498876452446"
"0.12262136489152908, 0.10059845447540283, 0.083163782954216, 0.06800694018602371, 0.054217301309108734, 0.04152301698923111, 0.031745560467243195, 0.028584618121385574, 0.03211270272731781, 0.041834507137537","0.12262136489152908, 0.12299232184886932, 0.12451432645320892, 0.1272112876176834, 0.130083367228508, 0.13455432653427124, 0.13993605971336365, 0.14656221866607666, 0.15263010561466217, 0.15848933160305023","0.08285924792289734, 0.07373026013374329, 0.0652509331703186, 0.057177044451236725, 0.05062347277998924, 0.04545820504426956, 0.04159317538142204, 0.040280427783727646, 0.04023096710443497, 0.041834507137537"
"0.0844583809375763, 0.05708293616771698, 0.03718974441289902, 0.025378935039043427, 0.01744309812784195, 0.01651204749941826, 0.019008273258805275, 0.024180980399250984, 0.028310149908065796, 0.04164271801710129","0.0844583809375763, 0.0774371400475502, 0.08220740407705307, 0.09637057036161423, 0.11946719884872437, 0.1592828929424286, 0.19769062101840973, 0.25459322333335876, 0.31756290793418884, 0.38321465253829956","0.41592514514923096, 0.3837745189666748, 0.3446897268295288, 0.3012681007385254, 0.25453317165374756, 0.21679766476154327, 0.17848187685012817, 0.12393663078546524, 0.06758596748113632, 0.04164271801710129"
"0.034321971237659454, 0.039924170821905136, 0.05179132521152496, 0.06383805721998215, 0.07278499007225037, 0.08331190794706345, 0.09081120043992996, 0.09901666641235352, 0.09743296355009079, 0.1011548712849617","0.034321971237659454, 0.06300276517868042, 0.12944193184375763, 0.19824889302253723, 0.25497007369995117, 0.31274476647377014, 0.35371917486190796, 0.37012431025505066, 0.3991306722164154, 0.4291221499443054","0.35714685916900635, 0.32668304443359375, 0.30686306953430176, 0.30447620153427124, 0.26740768551826477, 0.23138700425624847, 0.18370388448238373, 0.12383877485990524, 0.09695209562778473, 0.1011548712849617"
"0.11811399459838867, 0.12008384615182877, 0.11834508180618286, 0.1279578059911728, 0.12593111395835876, 0.13238656520843506, 0.12462087720632553, 0.12518416345119476, 0.11469772458076477, 0.1043897494673729","0.11811399459838867, 0.13132289052009583, 0.15523883700370789, 0.17856165766716003, 0.19837132096290588, 0.22517435252666473, 0.24337878823280334, 0.2610829472541809, 0.2779180109500885, 0.294281005859375","0.16312918066978455, 0.12991219758987427, 0.10712568461894989, 0.08961952477693558, 0.07759861648082733, 0.07739177346229553, 0.0776468887925148, 0.08264074474573135, 0.09123069047927856, 0.1043897494673729"
"0.018142011016607285, 0.017167985439300537, 0.016518279910087585, 0.01467282883822918, 0.01486026681959629, 0.020205823704600334, 0.035911619663238525, 0.055882710963487625, 0.074806809425354, 0.09936611354351044","0.018142011016607285, 0.06174852326512337, 0.12401673942804337, 0.17996102571487427, 0.2212780863046646, 0.2525551915168762, 0.2789446711540222, 0.30773916840553284, 0.33868086338043213, 0.37188443541526794","0.4545471668243408, 0.3665804862976074, 0.3049716353416443, 0.26684990525245667, 0.2399597316980362, 0.21621346473693848, 0.19405007362365723, 0.16578549146652222, 0.13386036455631256, 0.09936611354351044"
"0.10938862711191177, 0.0956285372376442, 0.09975115209817886, 0.12819503247737885, 0.16205188632011414, 0.16980695724487305, 0.1701037436723709, 0.18164348602294922, 0.20343413949012756, 0.23643428087234497","0.10938862711191177, 0.09301850944757462, 0.11855082213878632, 0.20435217022895813, 0.389371395111084, 0.45331889390945435, 0.4473007023334503, 0.4246113896369934, 0.43745821714401245, 0.46654123067855835","0.39130061864852905, 0.35592833161354065, 0.3202647268772125, 0.29177528619766235, 0.2863243520259857, 0.23017802834510803, 0.20947441458702087, 0.20226897299289703, 0.21254372596740723, 0.23643428087234497"
"0.1164378970861435, 0.06102897599339485, 0.0314628891646862, 0.01828226074576378, 0.016990894451737404, 0.02363353595137596, 0.032854851335287094, 0.04799142852425575, 0.06253811717033386, 0.080603688955307","0.1164378970861435, 0.12330198287963867, 0.1340663731098175, 0.15160402655601501, 0.1769070327281952, 0.1929522156715393, 0.20456691086292267, 0.21879194676876068, 0.23420576751232147, 0.2490256428718567","0.2857218086719513, 0.27989253401756287, 0.2706519365310669, 0.24510706961154938, 0.21540723741054535, 0.17652952671051025, 0.14001573622226715, 0.11079496145248413, 0.0911092460155487, 0.080603688955307"
"0.03445018082857132, 0.03517621010541916, 0.03960767388343811, 0.04891182854771614, 0.058851927518844604, 0.06234543025493622, 0.06226036325097084, 0.06609243899583817, 0.0685194879770279, 0.05930247902870178","0.03445018082857132, 0.0437750518321991, 0.06052364408969879, 0.08645986765623093, 0.12112586945295334, 0.15813416242599487, 0.19153884053230286, 0.22689561545848846, 0.26449134945869446, 0.30479303002357483","0.24230524897575378, 0.22302857041358948, 0.20121946930885315, 0.17211416363716125, 0.1466999053955078, 0.12216025590896606, 0.08961194008588791, 0.05537904053926468, 0.03579087555408478, 0.05930247902870178"
"0.05560208112001419, 0.054348573088645935, 0.05284816026687622, 0.05204395949840546, 0.05101765692234039, 0.0505979023873806, 0.050897616893053055, 0.05242189019918442, 0.05466706305742264, 0.057319171726703644","0.05560208112001419, 0.05473065376281738, 0.055038463324308395, 0.05648320913314819, 0.05798935145139694, 0.05991823971271515, 0.06251677125692368, 0.06557460874319077, 0.06924207508563995, 0.07318206876516342","0.08698197454214096, 0.08021622151136398, 0.07468769699335098, 0.07028735429048538, 0.06639662384986877, 0.06301378458738327, 0.06052980571985245, 0.058759428560733795, 0.05772615596652031, 0.057319171726703644"
"0.09978725761175156, 0.0889623835682869, 0.07812131941318512, 0.0640864372253418, 0.0540228970348835, 0.04514330253005028, 0.034260377287864685, 0.03939308226108551, 0.0664244070649147, 0.14941449463367462","0.09978725761175156, 0.10726135224103928, 0.12789006531238556, 0.16957613825798035, 0.22522979974746704, 0.28386223316192627, 0.3337118923664093, 0.34836047887802124, 0.3501383066177368, 0.36245137453079224","0.4532698392868042, 0.4448521137237549, 0.42494744062423706, 0.3867787718772888, 0.3446633517742157, 0.30867937207221985, 0.2805399000644684, 0.2506803572177887, 0.21004948019981384, 0.14941449463367462"
"0.07616239041090012, 0.04937241971492767, 0.03250090032815933, 0.025878677144646645, 0.025401974096894264, 0.030642250552773476, 0.0413973405957222, 0.056148119270801544, 0.07682064920663834, 0.10169430077075958","0.07616239041090012, 0.07353676110506058, 0.07457754015922546, 0.07966122031211853, 0.08802878856658936, 0.10022135078907013, 0.11568760871887207, 0.1382381021976471, 0.1696973741054535, 0.20779870450496674","0.1433834433555603, 0.145073801279068, 0.14511479437351227, 0.1431756168603897, 0.13516546785831451, 0.12554708123207092, 0.11559118330478668, 0.10710656642913818, 0.10050801187753677, 0.10169430077075958"
"0.16121642291545868, 0.14367222785949707, 0.1301289200782776, 0.11825144290924072, 0.110195592045784, 0.10411861538887024, 0.09965524822473526, 0.0939309298992157, 0.08629649132490158, 0.0812239944934845","0.16121642291545868, 0.16418291628360748, 0.16840797662734985, 0.17398931086063385, 0.178319051861763, 0.1844376176595688, 0.19294938445091248, 0.19896270334720612, 0.2050469070672989, 0.2147253006696701","0.1254487782716751, 0.11756183952093124, 0.1103954166173935, 0.10357515513896942, 0.09517145156860352, 0.08694304525852203, 0.0812535360455513, 0.07817675173282623, 0.07798630744218826, 0.0812239944934845"
"0.022160116583108902, 0.02806365303695202, 0.03650805354118347, 0.04499674588441849, 0.053831420838832855, 0.06351746618747711, 0.07294221222400665, 0.08607283234596252, 0.10338421165943146, 0.12473851442337036","0.022160116583108902, 0.031778961420059204, 0.05029407888650894, 0.07497981190681458, 0.10267315059900284, 0.1352376639842987, 0.16618496179580688, 0.19836106896400452, 0.2317740023136139, 0.26383742690086365","0.16975726187229156, 0.1447804868221283, 0.12212114036083221, 0.10273008048534393, 0.08702339977025986, 0.07644633203744888, 0.07093074172735214, 0.07738582789897919, 0.09640416502952576, 0.12473851442337036"
"0.011555556207895279, 0.015330705791711807, 0.019935838878154755, 0.028359433636069298, 0.035007111728191376, 0.04380486533045769, 0.05472656711935997, 0.06519100815057755, 0.06944174319505692, 0.07220061868429184","0.011555556207895279, 0.02634561061859131, 0.052143752574920654, 0.0881473496556282, 0.13365739583969116, 0.1874782294034958, 0.2415100336074829, 0.2869565486907959, 0.33605071902275085, 0.37409940361976624","0.35390833020210266, 0.31410396099090576, 0.27074167132377625, 0.2234983593225479, 0.17626038193702698, 0.1290215402841568, 0.07976612448692322, 0.04418579488992691, 0.03984973952174187, 0.07220061868429184"
"0.05995208024978638, 0.05721677839756012, 0.05689048394560814, 0.057350385934114456, 0.06323017179965973, 0.07085251808166504, 0.08840306848287582, 0.10745255649089813, 0.14606180787086487, 0.18347033858299255","0.05995208024978638, 0.05184914171695709, 0.04565046727657318, 0.04250792786478996, 0.044808678328990936, 0.057811539620161057, 0.08584951609373093, 0.13260699808597565, 0.20910409092903137, 0.3138427734375","0.44497233629226685, 0.432224839925766, 0.41744983196258545, 0.3970189094543457, 0.36602145433425903, 0.32759252190589905, 0.28706955909729004, 0.24923300743103027, 0.21189923584461212, 0.18347033858299255"
"0.05646012723445892, 0.05610349774360657, 0.06046892702579498, 0.06541399657726288, 0.0738641619682312, 0.08230926841497421, 0.09624926000833511, 0.1108531802892685, 0.1228041797876358, 0.14349201321601868","0.05646012723445892, 0.07251448184251785, 0.09584755450487137, 0.12327301502227783, 0.16461709141731262, 0.21387891471385956, 0.2513476610183716, 0.28801411390304565, 0.33131998777389526, 0.37877246737480164","0.24285829067230225, 0.22436589002609253, 0.20525480806827545, 0.183423712849617, 0.1620548963546753, 0.1510910987854004, 0.12964041531085968, 0.11933493614196777, 0.11999722570180893, 0.14349201321601868"
"0.10029387474060059, 0.10211868584156036, 0.09639240801334381, 0.08834977447986603, 0.08068687468767166, 0.0691644623875618, 0.04503596946597099, 0.04075323045253754, 0.07164952158927917, 0.11305451393127441","0.10029387474060059, 0.1024964228272438, 0.10706236213445663, 0.11498761177062988, 0.12451837211847305, 0.13594111800193787, 0.1497034877538681, 0.16790539026260376, 0.1931319534778595, 0.2291964292526245","0.3092482388019562, 0.29244405031204224, 0.27516767382621765, 0.258726567029953, 0.24112290143966675, 0.22168725728988647, 0.1995580643415451, 0.17557792365550995, 0.14537104964256287, 0.11305451393127441"
"0.2367839515209198, 0.2260105311870575, 0.2187833935022354, 0.20872825384140015, 0.19474220275878906, 0.17863835394382477, 0.16577133536338806, 0.15229615569114685, 0.13616840541362762, 0.12017135322093964","0.2367839515209198, 0.22708263993263245, 0.2189725786447525, 0.21173302829265594, 0.20703497529029846, 0.20268614590168, 0.20144762098789215, 0.20162823796272278, 0.20349663496017456, 0.20662669837474823","0.26798903942108154, 0.24938847124576569, 0.23130187392234802, 0.21152296662330627, 0.19400139153003693, 0.17478597164154053, 0.15846215188503265, 0.14366059005260468, 0.13089577853679657, 0.12017135322093964"
"0.018439849838614464, 0.013300823979079723, 0.00994102656841278, 0.009272020310163498, 0.01047574169933796, 0.013602228835225105, 0.017578398808836937, 0.023191871121525764, 0.029866624623537064, 0.03544619679450989","0.018439849838614464, 0.0632319301366806, 0.12003756314516068, 0.17185565829277039, 0.2168295681476593, 0.25394126772880554, 0.2847049832344055, 0.31136655807495117, 0.3332725167274475, 0.35411038994789124","0.32487863302230835, 0.25424283742904663, 0.1852210909128189, 0.12557004392147064, 0.08655523508787155, 0.05343462899327278, 0.029215754941105843, 0.019050581380724907, 0.022755499929189682, 0.03544619679450989"
"0.1836336851119995, 0.10195689648389816, 0.06650729477405548, 0.04570375010371208, 0.04055046662688255, 0.0454917773604393, 0.042365483939647675, 0.04359446465969086, 0.047363292425870895, 0.04952184855937958","0.1836336851119995, 0.1919020712375641, 0.19355636835098267, 0.1951167732477188, 0.2168044000864029, 0.3420462906360626, 0.4185267686843872, 0.43954458832740784, 0.46672186255455017, 0.4834388196468353","0.39589062333106995, 0.37772074341773987, 0.3587481677532196, 0.33003413677215576, 0.30183809995651245, 0.2578126788139343, 0.14843250811100006, 0.0848633423447609, 0.05306948348879814, 0.04952184855937958"
"0.006322103086858988, 0.00965036079287529, 0.017428532242774963, 0.02939089946448803, 0.041965413838624954, 0.0616690032184124, 0.08252378553152084, 0.10981889069080353, 0.14307449758052826, 0.1943819522857666","0.006322103086858988, 0.0275240670889616, 0.08092139661312103, 0.1629825234413147, 0.26353582739830017, 0.3580866754055023, 0.37912482023239136, 0.4095653295516968, 0.4398408830165863, 0.47553926706314087","0.4336995780467987, 0.4086206257343292, 0.3770347237586975, 0.3535279631614685, 0.31242817640304565, 0.22279302775859833, 0.1587899625301361, 0.13884171843528748, 0.1516839563846588, 0.1943819522857666"
"0.12986434996128082, 0.12107338011264801, 0.10235513746738434, 0.07884124666452408, 0.050520945340394974, 0.0306166410446167, 0.036911871284246445, 0.08622041344642639, 0.14935535192489624, 0.19855058193206787","0.12986434996128082, 0.13807687163352966, 0.14770996570587158, 0.15931400656700134, 0.17311985790729523, 0.18778854608535767, 0.20170828700065613, 0.21392281353473663, 0.2242833971977234, 0.23373861610889435","0.25055426359176636, 0.24260970950126648, 0.2343885898590088, 0.22620123624801636, 0.2178150713443756, 0.21078994870185852, 0.20556101202964783, 0.20171234011650085, 0.19927452504634857, 0.19855058193206787"
"0.07547173649072647, 0.06110663339495659, 0.031529322266578674, 0.020510243251919746, 0.014042462222278118, 0.010224799625575542, 0.007047574035823345, 0.007600876037031412, 0.010365400463342667, 0.014151039533317089","0.07547173649072647, 0.11621908843517303, 0.14262183010578156, 0.1653209924697876, 0.18669046461582184, 0.20619414746761322, 0.22430634498596191, 0.2431480437517166, 0.26045677065849304, 0.2749028205871582","0.28644585609436035, 0.23727838695049286, 0.19078625738620758, 0.14771340787410736, 0.10516883432865143, 0.06662063300609589, 0.036492202430963516, 0.019134726375341415, 0.012818945571780205, 0.014151039533317089"
"0.16594819724559784, 0.1413407176733017, 0.11895672231912613, 0.09573139250278473, 0.07893914729356766, 0.06535747647285461, 0.05639220029115677, 0.04962274059653282, 0.042185574769973755, 0.03993186727166176","0.16594819724559784, 0.13444945216178894, 0.10949820280075073, 0.09181132167577744, 0.08483847975730896, 0.09316515922546387, 0.12124685198068619, 0.18147645890712738, 0.26516014337539673, 0.2902173399925232","0.3784639835357666, 0.3507065773010254, 0.32243791222572327, 0.2924509644508362, 0.26174360513687134, 0.22771286964416504, 0.19233666360378265, 0.14187143743038177, 0.06946152448654175, 0.03993186727166176"
"0.08938072621822357, 0.08196181803941727, 0.0798589289188385, 0.08553802967071533, 0.10038672387599945, 0.11746230721473694, 0.128701314330101, 0.14423786103725433, 0.15557321906089783, 0.1616358906030655","0.08938072621822357, 0.11928179860115051, 0.15157350897789001, 0.19143405556678772, 0.24246622622013092, 0.2943176329135895, 0.3345414400100708, 0.37903687357902527, 0.41086745262145996, 0.43738657236099243","0.29699987173080444, 0.28269416093826294, 0.2688309848308563, 0.2519189715385437, 0.22553971409797668, 0.19245503842830658, 0.15985722839832306, 0.14932781457901, 0.15009313821792603, 0.1616358906030655"
"0.1954742968082428, 0.18220219016075134, 0.16522958874702454, 0.14600616693496704, 0.1369125097990036, 0.12958693504333496, 0.12536659836769104, 0.137989342212677, 0.14917001128196716, 0.15589413046836853","0.1954742968082428, 0.1963181048631668, 0.23969672620296478, 0.30289846658706665, 0.3182963728904724, 0.3381655216217041, 0.3642776310443878, 0.39274460077285767, 0.41755956411361694, 0.4379529356956482","0.38515859842300415, 0.3619001805782318, 0.3145855963230133, 0.24786867201328278, 0.20147719979286194, 0.17891818284988403, 0.16496524214744568, 0.15764284133911133, 0.15550313889980316, 0.15589413046836853"
"0.19114762544631958, 0.20407898724079132, 0.21974888443946838, 0.23399783670902252, 0.2597285509109497, 0.2892717719078064, 0.3029771149158478, 0.3024788200855255, 0.2956332564353943, 0.2865089178085327","0.19114762544631958, 0.19435733556747437, 0.20457050204277039, 0.22060121595859528, 0.24256473779678345, 0.27110156416893005, 0.2997337281703949, 0.3263562023639679, 0.3488839566707611, 0.3709229528903961","0.47492486238479614, 0.45172932744026184, 0.42911460995674133, 0.40593457221984863, 0.38339942693710327, 0.36419737339019775, 0.3454217314720154, 0.32076495885849, 0.29561498761177063, 0.2865089178085327"
"0.016238240525126457, 0.02073110267519951, 0.04060644283890724, 0.06058694049715996, 0.08072540163993835, 0.10136160999536514, 0.11983595043420792, 0.13714702427387238, 0.1539088934659958, 0.16190363466739655","0.016238240525126457, 0.018190443515777588, 0.023467648774385452, 0.031937770545482635, 0.04434586316347122, 0.06181750446557999, 0.08222512900829315, 0.10609307140111923, 0.13128116726875305, 0.15475493669509888","0.3123043179512024, 0.29535555839538574, 0.2790694832801819, 0.26207679510116577, 0.2426065057516098, 0.21996143460273743, 0.19842037558555603, 0.1805415004491806, 0.16928920149803162, 0.16190363466739655"
"0.08075709640979767, 0.09548698365688324, 0.10171639919281006, 0.10118508338928223, 0.09288981556892395, 0.08506737649440765, 0.07220081239938736, 0.05691417306661606, 0.043458499014377594, 0.03130900114774704","0.08075709640979767, 0.07332459837198257, 0.09439430385828018, 0.15624704957008362, 0.23050938546657562, 0.2567618489265442, 0.31001219153404236, 0.3708164393901825, 0.42728063464164734, 0.4850114583969116","0.5391083359718323, 0.5371326208114624, 0.5340427756309509, 0.5079582333564758, 0.4049298167228699, 0.28671789169311523, 0.20732860267162323, 0.1407221108675003, 0.07692848891019821, 0.03130900114774704"
"0.024727370589971542, 0.030061881989240646, 0.04003944993019104, 0.0550529882311821, 0.0692996233701706, 0.09710713475942612, 0.11788036674261093, 0.1265099048614502, 0.1347840428352356, 0.1500513255596161","0.024727370589971542, 0.03995800018310547, 0.0991697758436203, 0.17447489500045776, 0.25376754999160767, 0.3328772187232971, 0.39375436305999756, 0.43705207109451294, 0.47753289341926575, 0.5091519355773926","0.5236236453056335, 0.49137985706329346, 0.4543779194355011, 0.4038715660572052, 0.3664470314979553, 0.3377338647842407, 0.29833346605300903, 0.24503102898597717, 0.1945652812719345, 0.1500513255596161"
