lpips_1,lpips_2_A,lpips_2_B
"0.07595963776111603, 0.07909955084323883, 0.07686185091733932, 0.07469146698713303, 0.07850703597068787, 0.08797521889209747, 0.09996918588876724, 0.1149335503578186, 0.13162656128406525, 0.1467909812927246","0.07595963776111603, 0.07282982021570206, 0.08216392993927002, 0.09267681837081909, 0.10431869328022003, 0.11931218951940536, 0.13468539714813232, 0.1496298462152481, 0.1650996059179306, 0.18080493807792664","0.3414723575115204, 0.3017522692680359, 0.2708968222141266, 0.24558565020561218, 0.22631651163101196, 0.2106567770242691, 0.19610625505447388, 0.18139895796775818, 0.16391560435295105, 0.1467909812927246"
"0.2621346116065979, 0.24261178076267242, 0.229073166847229, 0.22259914875030518, 0.21725520491600037, 0.2135578840970993, 0.19652947783470154, 0.1782844513654709, 0.1616450846195221, 0.14414288103580475","0.2621346116065979, 0.2535973787307739, 0.25077301263809204, 0.2519019842147827, 0.26107776165008545, 0.2758086621761322, 0.29013344645500183, 0.30494922399520874, 0.3226683735847473, 0.3395006060600281","0.3394397795200348, 0.3236963450908661, 0.30940866470336914, 0.29358717799186707, 0.2752021551132202, 0.25690919160842896, 0.2365746647119522, 0.2116921842098236, 0.1806022822856903, 0.14414288103580475"
"0.035334985703229904, 0.030709754675626755, 0.02764042839407921, 0.026926996186375618, 0.02663862146437168, 0.029217630624771118, 0.03441696614027023, 0.04021202027797699, 0.04596616327762604, 0.04950472339987755","0.035334985703229904, 0.029958993196487427, 0.0304841510951519, 0.03996744379401207, 0.059372395277023315, 0.08588674664497375, 0.11813291162252426, 0.16135962307453156, 0.24960243701934814, 0.3907621502876282","0.41427505016326904, 0.3893391788005829, 0.3626754879951477, 0.3325694799423218, 0.30201956629753113, 0.26870468258857727, 0.22999456524848938, 0.16643992066383362, 0.10121743381023407, 0.04950472339987755"
"0.015446488745510578, 0.020231379196047783, 0.025768263265490532, 0.02970203012228012, 0.03701261430978775, 0.04328518360853195, 0.04742413014173508, 0.05025861784815788, 0.05117979273200035, 0.06076735258102417","0.015446488745510578, 0.05075894668698311, 0.1039489135146141, 0.17738384008407593, 0.2547391653060913, 0.32519373297691345, 0.38784295320510864, 0.4373721778392792, 0.472265362739563, 0.49979230761528015","0.4634178876876831, 0.43270981311798096, 0.39857029914855957, 0.3650693893432617, 0.30783671140670776, 0.24870525300502777, 0.19328631460666656, 0.11543352156877518, 0.07546496391296387, 0.06076735258102417"
"0.11297746747732162, 0.08698930591344833, 0.062223780900239944, 0.042159292846918106, 0.026065398007631302, 0.014890453778207302, 0.013606777414679527, 0.02218651957809925, 0.03985939547419548, 0.06257674098014832","0.11297746747732162, 0.1157846748828888, 0.1189054623246193, 0.12291063368320465, 0.12806805968284607, 0.13492169976234436, 0.14298896491527557, 0.1526120901107788, 0.16487640142440796, 0.18015868961811066","0.121319979429245, 0.10652937740087509, 0.09296312928199768, 0.08125986903905869, 0.07126017659902573, 0.06426393985748291, 0.0593552328646183, 0.05747672915458679, 0.05932670086622238, 0.06257674098014832"
"0.01910519413650036, 0.022151168435811996, 0.022904545068740845, 0.0252168420702219, 0.021216953173279762, 0.01768946833908558, 0.017434053122997284, 0.0230528824031353, 0.03544817864894867, 0.04575760290026665","0.01910519413650036, 0.0367211252450943, 0.06057728826999664, 0.09623537957668304, 0.1328173577785492, 0.1740119457244873, 0.22106751799583435, 0.27263936400413513, 0.3270701766014099, 0.38687238097190857","0.36100268363952637, 0.34048473834991455, 0.31213974952697754, 0.28348973393440247, 0.24714183807373047, 0.20844325423240662, 0.16906210780143738, 0.12853915989398956, 0.08648641407489777, 0.04575760290026665"
"0.19959238171577454, 0.1257154792547226, 0.07750334590673447, 0.0439901240170002, 0.027492592111229897, 0.020449433475732803, 0.019845230504870415, 0.018797997385263443, 0.021305028349161148, 0.026684414595365524","0.19959238171577454, 0.1380288004875183, 0.1222192645072937, 0.14266616106033325, 0.18086059391498566, 0.219991534948349, 0.24836134910583496, 0.2696535587310791, 0.2835123836994171, 0.2922017574310303","0.31170105934143066, 0.24461518228054047, 0.182577982544899, 0.12474875152111053, 0.07950866222381592, 0.046932660043239594, 0.03065791167318821, 0.025767259299755096, 0.025904368609189987, 0.026684414595365524"
"0.09011249989271164, 0.076104074716568, 0.0626516118645668, 0.05659661069512367, 0.0484156496822834, 0.03922634944319725, 0.03656817600131035, 0.036136072129011154, 0.03602880612015724, 0.0376570038497448","0.09011249989271164, 0.10908213257789612, 0.14690609276294708, 0.24338363111019135, 0.3793680667877197, 0.43229591846466064, 0.45711010694503784, 0.48019939661026, 0.49439460039138794, 0.5121040344238281","0.48109233379364014, 0.459592342376709, 0.4416857957839966, 0.4074893891811371, 0.2991901636123657, 0.20697829127311707, 0.13129466772079468, 0.07864125818014145, 0.04565881937742233, 0.0376570038497448"
"0.013599913567304611, 0.021849703043699265, 0.03625889867544174, 0.06019895523786545, 0.09045633673667908, 0.10571470856666565, 0.1278572827577591, 0.17704057693481445, 0.2350422739982605, 0.30844980478286743","0.013599913567304611, 0.034163009375333786, 0.06588423997163773, 0.11331769824028015, 0.1781000792980194, 0.2415238320827484, 0.3072974979877472, 0.3769013285636902, 0.4790276288986206, 0.5665163993835449","0.5323713421821594, 0.5000149607658386, 0.46694931387901306, 0.4335481524467468, 0.4019416868686676, 0.372988224029541, 0.33814653754234314, 0.3034817576408386, 0.2971263527870178, 0.30844980478286743"
"0.07136861234903336, 0.047889452427625656, 0.02831374481320381, 0.022653205320239067, 0.021611018106341362, 0.02851215749979019, 0.0450856052339077, 0.055692363530397415, 0.0732080489397049, 0.08917353302240372","0.07136861234903336, 0.059615619480609894, 0.061653342097997665, 0.08072919398546219, 0.10988099128007889, 0.14989377558231354, 0.19455738365650177, 0.24824607372283936, 0.30677706003189087, 0.36385223269462585","0.37520813941955566, 0.3203452229499817, 0.26579782366752625, 0.22193790972232819, 0.18176394701004028, 0.1437537521123886, 0.11322300136089325, 0.09178090840578079, 0.08152949810028076, 0.08917353302240372"
